,text,Sentiment,created_at
0,RT @thouse_opinions: Protesters placed fake body bags in front of the #Trump International Hotel in New York City to protest the Trump admi…,negative,04-21
1,"RT @CGTNOfficial: While Trump says Beijing should face consequence for allegedly not being transparent with what it knew about #COVID-19, C…",positive,04-21
2,RT @ChinaDaily: How did China manage to contain the COVID-19 epidemic so quickly? How did China succeed in keeping the fatality rate relati…,positive,04-21
3,"RT @CGTNOfficial: At least 710 crew members from the USS Theodore Roosevelt have tested positive for Covid-19, the US Navy says, with nine…",negative,04-21
4,"RT @TheLancet: NEW Correspondence—Ethnicity and #COVID19: an urgent public health research priority

M Pareek et al reviewed published pape…",positive,04-21
5,"RT @ChinaDaily: How does #China manage to largely contain the outbreak? 

—Testing was done on all people in need as soon as possible with…",positive,04-21
6,"RT @ChinaDaily: How does #China manage to largely contain the outbreak?  

—Over 42,000 health workers in 340 medical teams gathered across…",positive,04-21
7,"RT @ChinaDaily: How does #China manage to largely contain the outbreak?  

—Over 42,000 health workers in 340 medical teams gathered across…",positive,04-21
8,RT @ChinaDaily: #EverydayHero China's National Health Commission held a ceremony at Beijing Capital International Airport to welcome the re…,positive,04-21
9,"RT @CGTNOfficial: Take a look at a young student from Angola, now living and Guangzhou, who is volunteering during the #COVID-19 pandemic.…",positive,04-21
10,RT @CGTNOfficial: Political analysts Andrew Korybko discusses the U.S. use of sanctions around the world and how its foreign policies have…,negative,04-21
11,"RT @ChinaDaily: How does #China manage to largely contain the outbreak?  

—Over 42,000 health workers in 340 medical teams gathered across…",positive,04-21
12,"RT @ChinaDaily: How does #China manage to largely contain the outbreak?  

—Over 42,000 health workers in 340 medical teams gathered across…",positive,04-21
13,"RT @CGTNOfficial: Take a look at a young student from Angola, now living and Guangzhou, who is volunteering during the #COVID-19 pandemic.…",positive,04-21
14,RT @CGTNOfficial: Political analysts Andrew Korybko discusses the U.S. use of sanctions around the world and how its foreign policies have…,negative,04-21
15,"RT @ChinaDaily: How does #China manage to largely contain the outbreak?  

—Over 42,000 health workers in 340 medical teams gathered across…",positive,04-21
16,"RT @CGTNOfficial: While Trump says Beijing should face consequence for allegedly not being transparent with what it knew about #COVID-19, C…",positive,04-21
17,"RT @CGTNOfficial: While Trump says Beijing should face consequence for allegedly not being transparent with what it knew about #COVID-19, C…",positive,04-21
18,"RT @TheLancet: NEW Correspondence—Ethnicity and #COVID19: an urgent public health research priority

M Pareek et al reviewed published pape…",positive,04-21
19,RT @zlj517: This article is very much important to each and every one of us. Please read and retweet it. COVID-19: Further Evidence that th…,positive,04-21
20,"RT @CGTNOfficial: Take a look at a young student from Angola, now living and Guangzhou, who is volunteering during the #COVID-19 pandemic.…",positive,04-21
21,RT @ChinaDaily: How did China manage to contain the COVID-19 epidemic so quickly? How did China succeed in keeping the fatality rate relati…,positive,04-21
22,"RT @CGTNOfficial: While Trump says Beijing should face consequence for allegedly not being transparent with what it knew about #COVID-19, C…",positive,04-21
23,"RT @CGTNOfficial: While Trump says Beijing should face consequence for allegedly not being transparent with what it knew about #COVID-19, C…",positive,04-21
24,"RT @ChinaDaily: How does #China manage to largely contain the outbreak?  

—Over 42,000 health workers in 340 medical teams gathered across…",positive,04-21
25,"RT @TheLancet: NEW Correspondence—Ethnicity and #COVID19: an urgent public health research priority

M Pareek et al reviewed published pape…",positive,04-21
26,"RT @TheLancet: NEW Correspondence—Ethnicity and #COVID19: an urgent public health research priority

M Pareek et al reviewed published pape…",positive,04-21
27,"RT @ChinaDaily: How does #China manage to largely contain the outbreak?  

—Over 42,000 health workers in 340 medical teams gathered across…",positive,04-21
28,"RT @CGTNOfficial: While Trump says Beijing should face consequence for allegedly not being transparent with what it knew about #COVID-19, C…",positive,04-21
29,RT @ChinaDaily: How did China manage to contain the COVID-19 epidemic so quickly? How did China succeed in keeping the fatality rate relati…,positive,04-21
30,"RT @ChinaDaily: How does #China manage to largely contain the outbreak? 

—Testing was done on all people in need as soon as possible with…",positive,04-21
