,text,Sentiment,created_at
0,May Allah bless &amp; grant early recovery to Mr Faisal Edhi who had positive test of COVID 19.  Dr Faisal's advise to… https://t.co/3qUVGtFpgo,positive,04-21
1,RT @mona_qau: I wanna have this once again 😳 best thing it could have been in #Covid_19 https://t.co/ka7oFwYr03,positive,04-21
2,RT @mona_qau: I wanna have this once again 😳 best thing it could have been in #Covid_19 https://t.co/ka7oFwYr03,positive,04-21
3,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
4,@Channel4News make #Covid_19 great again,positive,04-21
5,"RT @GulfSouth: With the COVID-19 pandemic shutting down sports across the country, GSC SAAC Chair Kristen Pickens (@UUAthletics) has put to…",negative,04-21
6,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
7,"@realDonaldTrump Most of the GDP in the whole world is spent on weapons,Covid-19 is teaching us a lesson.
Save mone… https://t.co/27AOMJS4wC",positive,04-21
8,"RT @GulfSouth: With the COVID-19 pandemic shutting down sports across the country, GSC SAAC Chair Kristen Pickens (@UUAthletics) has put to…",negative,04-21
9,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
10,"What does Covid- 19 mean ???

Covid-19: china organised virus in 2019 😕",negative,04-21
11,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
12,RT @Pak_foreverIA: Faisal Edhi has been tested positive with COVID-19. PM Imran Khan should go into isolation. 😌 https://t.co/3MKebT1WYd,positive,04-21
13,RT @appcsocialmedia: LIVE #APPNews :   Prime Minister  @ImranKhanPTI expresses his views on COVID-19 situation https://t.co/PDBiDwYIoW,positive,04-21
14,"RT @GulfSouth: With the COVID-19 pandemic shutting down sports across the country, GSC SAAC Chair Kristen Pickens (@UUAthletics) has put to…",negative,04-21
15,"RT @basiitzargar: For the first time since it opened in 2007, Kashmir’s famous tulip garden  the largest in Asia have no tourists taking se…",positive,04-21
16,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
17,RT @Pak_foreverIA: Faisal Edhi has been tested positive with COVID-19. PM Imran Khan should go into isolation. 😌 https://t.co/3MKebT1WYd,positive,04-21
18,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
19,"RT @Samford_Sports: The New Normal: How Samford Athletics' players, coaches and staff are dealing with COVID-19.

Episode 9: Anna Maddox

#…",positive,04-21
20,"Russia: We would not reduce oil production amid COVID-19 
KSA: Okay I would enhance my production and toll down the… https://t.co/coIdjptr2P",positive,04-21
