,text,Sentiment,created_at
0,"RT @_drbruced: Happy Earth Day! I normally would run-commute to work &amp; take the train home, but for this video I did the round trip as a Su…",positive,04-27
1,@granny_1857 WFH is luxury.,positive,04-27
2,Great advice to ensure your WFH claims are accurate come tax time :) Bonus chicken content! https://t.co/Mbm8UDwvCD,positive,04-27
3,"Had to shoot out to grab some milk as coffee is life and WFH means I'm  drinking way more than usual. Well, there i… https://t.co/k1UfETjpJ7",positive,04-27
4,"Standard Work Wear (now). #wfh⁠
We go from level 4 lockdown to L3 today...⁠
Not much changes for me except we can o… https://t.co/EAtFIiZm50",positive,04-27
5,"@nickwilsdon Anyone who does not think #COVID19 is going to change forever the way we live, learn and work, should… https://t.co/ujprRRSEvr",positive,04-27
6,"We know how much you miss to ride those toughest terrains
with your friends on your Kross Squad 26 T bike.… https://t.co/X3ogXsj07H",positive,04-27
7,"#pandemic - It happened, impacted and gone! The graces of #Covid_19 will be immortal.
1. WFH is going to be new reg… https://t.co/erRPxnebD1",positive,04-27
8,"RT @researchwhisper: Today's #virtualnotviral tweetchat about working from home #WFH coming up soon! 9am BST/ 6pm AEST 
The Research Whispe…",positive,04-27
9,"Despite the uncertainty generated by Covid-19, the majority of staff have seamlessly transitioned into WFH while su… https://t.co/UbBmdKARcp",positive,04-27
10,A screen shot worth retweeting by @greatbong . Over the years I have observed the supervisors who think WFH are nor… https://t.co/mX4AwJFfRq,positive,04-27
11,"WFH

Its a much deeper phenomenon than it appears

Large companies already outsource so much work using Tech + labo… https://t.co/r9RLkrcQ4G",positive,04-27
12,RT @researchwhisper: The Research Whisperers ( @tseenster / @jod999 ) are guests for the next #virtualnotviral tweetchat on MON 27 April 9A…,positive,04-27
13,https://t.co/dLlGO3Z9A7 #WFH #wfh2020 #Azureoverflow,positive,04-27
14,Grade 2 class catch up on zoom: microcosm of what everyone in the working world has been battling for weeks now. Ex… https://t.co/85JNcJ6KCy,positive,04-27
15,"@excitel_rocks internet not working, application not working, call center not working,  How to complaint for no int… https://t.co/5SUhGJ9CUR",positive,04-27
16,RT @ETPanache: Being hydrated also acts as a barrier to potential unnecessary snacking because most of the people often confuse thirst with…,positive,04-27
17,"RT @ETPanache: Manish Singh feels that having a dedicated work area in the house helps to focus better.

#lockdown #wfh #covid #WorkFromHom…",positive,04-27
18,"RT @ETPanache: One #workfromhome hack that works for Anshu Budhraja is a short rest in the afternoon.
https://t.co/jdXQOqNKGC",positive,04-27
19,@guruparan18 @pazhamai 2/2 schedule is tight! When working from home there is cutoff time to leave office. But WFH… https://t.co/k5q3xw7Eyx,negative,04-27
20,WFH cats day 31 https://t.co/D2awYt3KcS,negative,04-27
21,RT @bakes_batter: New week! #WFH can feel daunting after so long. Make it interesting: change your location or brighten it up with some flo…,negative,04-27
22,New week! #WFH can feel daunting after so long. Make it interesting: change your location or brighten it up with so… https://t.co/51pFiWPZpi,negative,04-27
23,How WFH has shown us the real lives behind the job titles https://t.co/Mo2POOpvVw,negative,04-27
24,"Enterprises, governments and SMB's learnig to adjust to the new normal, to Cloud-based flexibility in the near futu… https://t.co/23rPWWJFD9",negative,04-27
25,"@Makhmudaw WHO? WFH kali, mud 😅🙈",negative,04-27
26,"RT @RexBusinessCas: Dr Zach on avoiding back pain if you are #WFH  

#HowTo #FixBackPain #RexBusinessCas  
  
Watch it here https://t.co/bg…",negative,04-27
